PEV,MediaRendimento,latitude,longitude
1.0,109.0,-27.7012801,-49.3341594
2.0,140.45166666666668,-27.6972612,-49.3339009
3.0,123.95,-27.5072225,-49.2862855
4.0,424.1428571428572,-27.4229462,-48.9576957
5.0,450.7142857142857,-27.9041265,-49.1281314
6.0,406.57142857142856,-27.9002453,-48.9283849
7.0,449.8571428571428,-27.6418608,-49.1096089
9.0,214.66666666666663,-27.67273,-49.0129852
10.0,277.8,-27.5686193,-48.80589879999999
11.0,531.8571428571429,-27.5635716,-48.7994219
12.0,658.25,-27.5687612,-48.75314239999999
13.0,615.8571428571429,-27.5185048,-48.7740653
14.0,812.7142857142857,-27.5168589,-48.7677454
15.0,190.586,-27.5138878,-48.76343139999999
16.0,343.8333333333333,-27.2951468,-48.9408637
17.0,364.22,-27.2859347,-48.930221
18.0,447.9230769230769,-27.2504763,-48.9423737
19.0,348.27272727272725,-27.2781395,-48.93763149999999
20.0,137.41176470588235,-27.2798326,-48.8327512
21.0,291.039375,-27.2765567,-48.8490723
22.0,637.7142857142857,-27.2695442,-48.85130110000001
23.0,577.25,-27.2654338,-48.84503669999999
24.0,321.5,-27.2666484,-48.7664322
25.0,346.978125,-27.2615571,-48.7673532
26.0,377.3333333333333,-27.2413358,-48.6176884
27.0,354.25,-27.2288818,-48.6463893
28.0,282.659375,-27.2548922,-48.6618399
29.0,167.8095238095238,-27.2386281,-48.6438015
30.0,404.3636363636364,-27.2310535,-48.6262572
31.0,365.0,-27.2380398,-48.63473889999999
32.0,409.46153846153845,-27.418467,-48.596647
33.0,214.3705555555556,-27.3661674,-48.55665210000001
34.0,335.75823529411764,-27.3329781,-48.545837
35.0,400.11764705882354,-27.3315616,-48.5368664
36.0,344.416875,-27.3279664,-48.54100709999999
37.0,459.1538461538461,-27.3216127,-48.5419967
38.0,266.61538461538464,-27.3786841,-48.534726
39.0,148.520625,-27.3141353,-48.5532607
40.0,255.80714285714288,-27.3170911,-48.561472
41.0,160.66636363636363,-27.3648177,-48.5366374
42.0,239.728125,-27.4279933,-48.5919704
43.0,344.0,-27.3147386,-48.55710939999999
44.0,457.31,-27.4860172,-48.6548659
45.0,563.3333333333334,-27.4978566,-48.65747959999999
46.0,115.6470588235294,-27.5092873,-48.6505575
47.0,390.8475,-27.5051956,-48.6468031
48.0,295.790625,-27.5090452,-48.6474012
49.0,269.1989473684211,-27.5248823,-48.6441347
50.0,482.6428571428572,-27.5300721,-48.6433683
55.0,343.41,-27.6996296,-48.8167005
56.0,262.75,-27.7109288,-48.85268199999999
57.0,266.26666666666665,-27.6871783,-48.7754801
58.0,246.943125,-27.6825898,-48.7579165
59.0,275.22222222222223,-27.6865129,-48.7775987
60.0,171.10136363636363,-27.6923447,-48.73209019999999
61.0,290.875,-27.6831288,-48.7501504
62.0,257.0975,-27.675067,-48.7744943
63.0,280.0,-27.6795451,-48.7509953
65.0,513.0,-27.6824181,-48.752984
67.0,482.0,-27.6915552,-48.7766235
69.0,265.178,-27.513582,-49.4001579
70.0,160.2941176470588,-27.6996765,-49.3344838
71.0,403.6875,-27.8651203,-48.6022475
72.0,296.47799999999995,-27.8597453,-48.6028663
73.0,295.6,-27.845381,-48.5882903
74.0,349.103125,-27.8322616,-48.5953349
75.0,246.79866666666663,-27.7163937,-48.6434201
76.0,230.0,-27.9016187,-48.5963831
77.0,297.6589473684211,-27.7511452,-48.6292367
78.0,232.0,-27.6245939,-48.6795223
79.0,490.0,-27.6461261,-48.6664784
80.0,257.26684210526315,-27.683604,-48.6554481
81.0,604.0,-27.705653,-48.652939
82.0,352.9565,-27.6568152,-48.6729074
83.0,341.20666666666665,-27.6529498,-48.6724547
84.0,455.6852941176471,-27.6439698,-48.6650637
85.0,317.1985,-27.6415703,-48.6639941
86.0,86.66,-27.7792055,-48.6326147
87.0,279.45454545454544,-27.633423,-48.6536997
88.0,402.587,-27.6313805,-48.6484025
89.0,303.74772727272733,-27.6340034,-48.6441785
90.0,376.9217647058824,-27.6739301,-48.6770218
91.0,367.09823529411767,-27.6488705,-48.7056893
92.0,565.5294117647059,-27.6454517,-48.68438949999999
93.0,302.4511764705882,-27.6413017,-48.7035084
94.0,667.6,-27.6718497,-48.6868867
95.0,534.8,-27.6581053,-48.6920466
96.0,376.8086666666667,-27.6199141,-48.66553039999999
97.0,387.69,-27.6245939,-48.6795223
98.0,389.5238095238095,-27.6265826,-48.6637869
99.0,447.0435,-27.6406832,-48.679112
100.0,319.095,-27.6724774,-48.64981
102.0,250.0,-27.6498434,-48.7024705
103.0,83.5,-27.6469309,-48.7141622
104.0,609.0,-27.6397691,-48.7105823
106.0,551.0,-27.6527603,-48.7090586
107.0,354.0,-27.694742,-48.6713169
108.0,502.0,-27.7478825,-48.6240639
109.0,505.0,-27.6312008,-48.6672423
110.0,286.0,-27.7384177,-48.6358648
113.0,439.356,-27.6781829,-48.639819
114.0,342.5,-27.8385698,-48.58891029999999
115.0,78.71227272727273,-27.6549983,-48.6839458
116.0,365.1666666666667,-27.6454517,-48.68438949999999
117.0,446.275,-27.6432414,-48.7030457
118.0,106.50761904761904,-27.6088264,-48.6675929
119.0,752.2,-27.6780731,-48.6898507
120.0,172.94736842105263,-27.5859981,-48.7153014
121.0,484.6666666666667,-27.5965342,-48.6838463
122.0,494.5,-27.6084202,-48.6482603
123.0,429.2973684210527,-27.5764299,-48.6177596
124.0,528.0,-27.5844281,-48.6683503
125.0,641.561875,-27.5761187,-48.6587079
126.0,453.78899999999993,-27.6005543,-48.6415021
127.0,482.6211764705883,-27.588041,-48.620773
128.0,330.2127272727273,-27.5559984,-48.6247266
129.0,465.6211764705882,-27.5685292,-48.6146851
130.0,284.3704761904761,-27.558006,-48.6316095
131.0,371.02736842105264,-27.54701,-48.6441774
132.0,372.0684210526316,-27.5621415,-48.6200385
133.0,390.1565,-27.552863,-48.6224117
134.0,452.5229411764706,-27.5409095,-48.63783309999999
135.0,509.065,-27.6372321,-48.6309777
136.0,633.2533333333334,-27.6184316,-48.6433717
137.0,661.06125,-27.61629,-48.6274952
138.0,549.3931578947368,-27.5348179,-48.6327936
139.0,438.103125,-27.5663652,-48.6167629
140.0,385.9845454545455,-27.6024323,-48.6145929
141.0,321.87333333333333,-27.5966419,-48.6134043
142.0,582.5473684210526,-27.6000163,-48.6136929
143.0,520.7985,-27.5954873,-48.61446369999999
144.0,430.2057142857143,-27.5920573,-48.6142157
145.0,457.7728571428571,-27.5918378,-48.6118658
146.0,517.9509523809523,-27.584082,-48.6127049
147.0,519.6470588235294,-27.6024323,-48.6145929
148.0,474.0917647058823,-27.5727965,-48.6081869
150.0,600.165,-27.5985904,-48.60741
151.0,428.50882352941176,-27.5957474,-48.6082282
152.0,462.0204545454546,-27.5690571,-48.6087246
153.0,428.62045454545455,-27.5755984,-48.6250741
154.0,74.53045454545455,-27.6049527,-48.64200109999999
155.0,465.8333333333333,-27.6000542,-48.6449061
156.0,626.2857142857143,-27.5506457,-48.6242217
158.0,140.84363636363636,-27.5776656,-48.6679775
159.0,441.4285714285714,-27.5961818,-48.64384159999999
160.0,836.6,-27.5989642,-48.6163162
161.0,418.5516666666667,-27.6199152,-48.6389425
162.0,169.8181818181818,-27.609257,-48.628253
164.0,735.3333333333334,-27.5780539,-48.615258
165.0,530.9633333333333,-27.5625793,-48.637958
166.0,432.2857142857143,-27.5694068,-48.6403608
167.0,843.5,-27.5413147,-48.6441194
168.0,480.08,-27.5444303,-48.6253243
