PEV,MediaRendimento
1.0,109.0
2.0,140.45166666666668
3.0,123.95
4.0,424.14285714285717
5.0,450.7142857142857
6.0,406.57142857142856
7.0,449.85714285714283
8.0,0.0
9.0,214.66666666666666
10.0,277.8
11.0,531.8571428571429
12.0,658.25
13.0,615.8571428571429
14.0,812.7142857142857
15.0,190.58599999999998
16.0,343.8333333333333
17.0,364.22
18.0,447.9230769230769
19.0,348.27272727272725
20.0,137.41176470588235
21.0,291.039375
22.0,637.7142857142857
23.0,577.25
24.0,321.5
25.0,346.978125
26.0,377.3333333333333
27.0,354.25
28.0,282.659375
29.0,167.8095238095238
30.0,404.3636363636364
31.0,365.0
32.0,409.46153846153845
33.0,214.37055555555557
34.0,335.75823529411764
35.0,400.11764705882354
36.0,344.416875
37.0,459.15384615384613
38.0,266.61538461538464
39.0,148.520625
40.0,255.80714285714288
41.0,160.66636363636363
42.0,239.728125
43.0,344.0
44.0,457.31
45.0,563.3333333333334
46.0,115.6470588235294
47.0,390.84749999999997
48.0,295.790625
49.0,269.1989473684211
50.0,482.64285714285717
51.0,0.0
52.0,0.0
53.0,0.0
54.0,0.0
55.0,343.41
56.0,262.75
57.0,266.26666666666665
58.0,246.943125
59.0,275.22222222222223
60.0,171.10136363636363
61.0,290.875
62.0,257.09749999999997
63.0,280.0
64.0,0.0
65.0,513.0
66.0,0.0
67.0,482.0
68.0,0.0
69.0,265.178
70.0,160.2941176470588
71.0,403.6875
72.0,296.47799999999995
73.0,295.6
74.0,349.103125
75.0,246.79866666666666
76.0,230.0
77.0,297.6589473684211
78.0,232.0
79.0,490.0
80.0,257.26684210526315
81.0,604.0
82.0,352.9565
83.0,341.20666666666665
84.0,455.68529411764706
85.0,317.1985
86.0,86.66
87.0,279.45454545454544
88.0,402.587
89.0,303.74772727272733
90.0,376.92176470588237
91.0,367.09823529411767
92.0,565.5294117647059
93.0,302.4511764705882
94.0,667.6
95.0,534.8
96.0,376.8086666666667
97.0,387.69
98.0,389.5238095238095
99.0,447.04349999999994
100.0,319.09499999999997
101.0,0.0
102.0,250.0
103.0,83.5
104.0,609.0
105.0,0.0
106.0,551.0
107.0,354.0
108.0,502.0
109.0,505.0
110.0,286.0
111.0,0.0
112.0,0.0
113.0,439.35599999999994
114.0,342.5
115.0,78.71227272727273
116.0,365.1666666666667
117.0,446.27500000000003
118.0,106.50761904761904
119.0,752.2
120.0,172.94736842105263
121.0,484.6666666666667
122.0,494.5
123.0,429.2973684210527
124.0,528.0
125.0,641.561875
126.0,453.78899999999993
127.0,482.6211764705883
128.0,330.2127272727273
129.0,465.62117647058824
130.0,284.37047619047615
131.0,371.02736842105264
132.0,372.0684210526316
133.0,390.1565
134.0,452.5229411764706
135.0,509.06499999999994
136.0,633.2533333333334
137.0,661.06125
138.0,549.3931578947368
139.0,438.103125
140.0,385.98454545454547
141.0,321.87333333333333
142.0,582.5473684210526
143.0,520.7985
144.0,430.2057142857143
145.0,457.7728571428571
146.0,517.9509523809523
147.0,519.6470588235294
148.0,474.0917647058823
149.0,0.0
150.0,600.165
151.0,428.50882352941176
152.0,462.0204545454546
153.0,428.62045454545455
154.0,74.53045454545455
155.0,465.8333333333333
156.0,626.2857142857143
157.0,0.0
158.0,140.84363636363636
159.0,441.42857142857144
160.0,836.6
161.0,418.5516666666667
162.0,169.8181818181818
163.0,0.0
164.0,735.3333333333334
165.0,530.9633333333333
166.0,432.2857142857143
167.0,843.5
168.0,480.08
169.0,0.0
170.0,0.0
171.0,0.0
172.0,0.0
173.0,0.0
174.0,0.0
175.0,0.0
176.0,0.0
177.0,0.0
178.0,0.0
179.0,0.0
180.0,0.0
181.0,0.0
182.0,0.0
183.0,0.0
184.0,0.0
185.0,0.0
186.0,0.0
187.0,0.0
188.0,0.0
189.0,0.0
190.0,0.0
191.0,0.0
192.0,0.0
193.0,0.0
194.0,0.0
